title,price,link
"Lenovo IdeaPad Slim 3 12th Gen
                                        Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop
                                        (16GB/512GB SSD/Intel UHD Graphics/Win 11/MSO 21/1Yr ADP Free/3 mon.Game
                                        Pass/Grey/1.37Kg),83EQ005VIN","53,280",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMTUyNjIwMjIyNzI0NzIwOjE3MjcyNjk2NjM6c3BfYXRmOjMwMDI4NDc3NzI2NjgzMjo6MDo6&url=%2FLenovo-i5-12450H-Graphics-mon-Game-83EQ005VIN%2Fdp%2FB0D6MPVN7B%2Fref%3Dsr_1_1_sspa%3Fcrid%3D82JPIJIXTHA6%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-L3DxWBmfh-SruzL7ptfnp-1jU6PB0tegHxVwk8yDbDtiNrszv_wIboQOrC3aX40aA.6fUi69r5sUGc6KCeDl-4-ixidnitZXEyxyeI3ey1CA8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727269663%26sprefix%3Dlaptop%252Caps%252C230%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU","32,490",https://amazon.in//HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_13?crid=82JPIJIXTHA6&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-L3DxWBmfh-SruzL7ptfnp-1jU6PB0tegHxVwk8yDbDtiNrszv_wIboQOrC3aX40aA.6fUi69r5sUGc6KCeDl-4-ixidnitZXEyxyeI3ey1CA8&dib_tag=se&keywords=laptop&qid=1727269663&sprefix=laptop%2Caps%2C230&sr=8-13
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)","16,300",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR49QPM9/ref=sr_1_14?crid=82JPIJIXTHA6&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-L3DxWBmfh-SruzL7ptfnp-1jU6PB0tegHxVwk8yDbDtiNrszv_wIboQOrC3aX40aA.6fUi69r5sUGc6KCeDl-4-ixidnitZXEyxyeI3ey1CA8&dib_tag=se&keywords=laptop&qid=1727269663&sprefix=laptop%2Caps%2C230&sr=8-14
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","62,990",https://amazon.in//Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_15?crid=82JPIJIXTHA6&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-L3DxWBmfh-SruzL7ptfnp-1jU6PB0tegHxVwk8yDbDtiNrszv_wIboQOrC3aX40aA.6fUi69r5sUGc6KCeDl-4-ixidnitZXEyxyeI3ey1CA8&dib_tag=se&keywords=laptop&qid=1727269663&sprefix=laptop%2Caps%2C230&sr=8-15
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin and Light Metal Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel UHD Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG","30,990",https://amazon.in//Acer-i3-1215U-Windows-Graphics-AL15-52/dp/B0CY1Z82QW/ref=sr_1_16?crid=82JPIJIXTHA6&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-L3DxWBmfh-SruzL7ptfnp-1jU6PB0tegHxVwk8yDbDtiNrszv_wIboQOrC3aX40aA.6fUi69r5sUGc6KCeDl-4-ixidnitZXEyxyeI3ey1CA8&dib_tag=se&keywords=laptop&qid=1727269663&sprefix=laptop%2Caps%2C230&sr=8-16
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
